	obs_mz	obs_rt	level2_gnps	level_1_identification	pvalue	test_statistic
261.1424526655383_0.6989705929487179	261.1424527	41.93823558	Spectral Match to Leu-Glu from NIST14	none	1.00E-04	-33.71835749
261.143688724684_1.125147195512821	261.1436887	67.50883173	Spectral Match to Leu-Glu from NIST14	none	0.00059994	-27.12415459
261.1439276420843_1.1813111378205128	261.1439276	70.87866827	Spectral Match to Leu-Glu from NIST14	none	0.00019998	-33.91618357
263.23643499255036_5.329428260869566	263.236435	319.7656957	"Spectral Match to Conjugated linoleic Acid (10E,12Z) from NIST14"	none	1.00E-04	-33.91618357
265.1492640375043_4.804064342948717	265.149264	288.2438606	none	none	0.00039996	-28.99251208
265.1544958106758_1.5494876006441225	265.1544958	92.96925604	Spectral Match to Val-Phe from NIST14	none	0.00029997	-28.44299517
265.2520276972831_5.462191384863125	265.2520277	327.7314831	"Spectral Match to 9-Octadecenamide, (Z)- from NIST14"	none	1.00E-04	-38.11449275
269.2470194263916_5.550577536231884	269.2470194	333.0346522	cis-7-Hexadecenoic acid methyl ester	none	0.00019998	-30.37729469
269.24707850035946_5.347728663446055	269.2470785	320.8637198	cis-7-Hexadecenoic acid methyl ester	none	1.00E-04	-40.22463768
271.2264441921956_5.287815619967794	271.2264442	317.2689372	none	none	1.00E-04	-34.68550725
272.12756686274923_3.9439146317829454	272.1275669	236.6348779	none	none	0.00059994	26.38780193
273.075371527356_3.6599315008725997	273.0753715	219.5958901	Massbank:FIO00206 Naringenin	none	0.00119988	25.7173913
273.14821339365994_3.6763591346153857	273.1482134	220.5815481	none	none	1.00E-04	-71.98671498
274.0676601683945_0.3426534789644014	274.0676602	20.55920874	none	none	0.00019998	-31.32246377
277.21567297193815_5.206398067632854	277.215673	312.3838841	"9,12-Octadecadiynoic Acid"	none	0.00089991	25.40966184
281.2467366370923_5.327227214170693	281.2467366	319.6336329	MoNA:790553 Linoleic acid	none	1.00E-04	-33.69637681
283.2623651476874_5.462460305958134	283.2623651	327.7476184	Spectral Match to Elaidic acid from NIST14	none	1.00E-04	-37.05942029
284.65578831884295_4.3318453301127215	284.6557883	259.9107198	none	none	1.00E-04	-44.09323671
285.1479281026352_3.2348193910256406	285.1479281	194.0891635	Spectral Match to Enterodiol from NIST14	Enterodiol	0.00019998	30.57512077
288.6601994568708_0.7201422619047618	288.6601995	43.20853571	none	none	0.00069993	-28.28913043
289.06997983951277_3.2782355392156854	289.0699798	196.6941324	Spectral Match to Dihydrokaempferol from NIST14	none	0.00159984	20.37608696
289.1817376903933_4.755469150641026	289.1817377	285.328149	none	none	1.00E-04	39.12560386
290.19528981911037_3.0722346955128192	290.1952898	184.3340817	none	none	1.00E-04	38.20241546
295.19055988059586_4.466612603648426	295.1905599	267.9967562	none	none	1.00E-04	-31.80603865
295.22568925232565_4.939551690821257	295.2256893	296.3731014	"9-Oxo-10E,12Z-octadecadienoic acid"	none	0.00029997	27.45386473
296.0652399752342_0.32605761217948714	296.06524	19.56345673	none	none	0.00189981	-24.66231884
297.1684575500916_3.328340785256409	297.1684576	199.7004471	none	none	1.00E-04	44.97246377
297.2409714500548_4.935211513687602	297.2409715	296.1126908	9(10)-EpOME	none	0.00019998	30.13550725
297.27775970541137_5.736684138486313	297.2777597	344.2010483	Phytomonic acid	none	0.00039996	-28.55289855
298.1826864045192_2.37731181972789	298.1826864	142.6387092	none	none	1.00E-04	30.66304348
298.3455738864051_5.216135578583765	298.3455739	312.9681347	none	none	1.00E-04	-49.6763285
299.12717053502917_3.77541909385113	299.1271705	226.5251456	Spectral Match to Enterolactone from NIST14	Enterolactone	1.00E-04	60.77657005
299.2567387224088_4.7466207912457925	299.2567387	284.7972475	none	none	1.00E-04	43.85144928
299.25707305163934_5.345663446054753	299.2570731	320.7398068	none	none	0.00149985	-25.2557971
299.2572375858599_4.570509587813623	299.2572376	274.2305753	none	none	0.00119988	-24.92608696
304.29866114712246_5.259707899305559	304.2986611	315.582474	Spectral Match to Benzyldodecyldimethylammonium from NIST14	none	1.00E-04	-53.19323671
304.29882442848947_5.090269162640903	304.2988244	305.4161498	Spectral Match to Benzyldodecyldimethylammonium from NIST14	none	1.00E-04	-61.30410628
306.1885508740182_2.833803601340035	306.1885509	170.0282161	none	none	1.00E-04	33.6634058
306.2418129789543_3.342614133986929	306.241813	200.556848	none	none	1.00E-04	-76.73454106
306.66983100385283_1.6772717391304355	306.669831	100.6363043	none	none	0.00169983	-24.99202899
307.1986679758349_3.5833498127340806	307.198668	215.0009888	none	none	1.00E-04	37.01545894
307.6961084020539_1.971202761904761	307.6961084	118.2721657	none	none	0.00039996	-27.0692029
308.19476414892415_1.643160696517412	308.1947641	98.58964179	none	none	1.00E-04	-34.10301932
309.1319729076935_3.961415099715098	309.1319729	237.684906	none	none	1.00E-04	-42.26884058
311.6807727988311_2.1960591358024675	311.6807728	131.7635481	none	none	0.00019998	-27.03623188
311.68173401128035_2.0433359404096834	311.681734	122.6001564	none	none	1.00E-04	-44.77463768
311.68179003127835_2.0969944134078213	311.68179	125.8196648	none	none	1.00E-04	-50.43466184
313.23684313424343_4.264594150641026	313.2368431	255.875649	none	none	0.00209979	24.4205314
315.1219166358201_3.339232484076433	315.1219166	200.353949	none	none	1.00E-04	-70.86570048
315.25213434751066_4.021573913043476	315.2521343	241.2944348	"9,10-Dihydroxy-12Z-octadecenoic acid"	none	0.00039996	25.36570048
315.2527297388329_4.741946954314719	315.2527297	284.5168173	"9,10-Dihydroxy-12Z-octadecenoic acid"	none	1.00E-04	-39.21352657
317.18111642054635_2.0696619731800756	317.1811164	124.1797184	none	none	0.00019998	-29.84975845
317.21043743734583_3.666571474358972	317.2104374	219.9942885	"13S-Hydroxy-9Z,11E,15Z-octadecatrienoic acid"	none	0.00069993	25.60748792
317.26865831159347_4.568565457685667	317.2686583	274.1139275	none	none	0.00189981	-24.28864734
317.26917020458035_4.74950074074074	317.2691702	284.9700444	none	none	1.00E-04	50.70942029
318.27845018914866_3.9835447747747748	318.2784502	239.0126865	none	none	1.00E-04	-65.45845411
318.2997576989767_5.463332769726248	318.2997577	327.7999662	Spectral Match to Phytosphingosine from NIST14	none	1.00E-04	-36.37801932
318.2998304384456_4.8823516323024085	318.2998304	292.9410979	Spectral Match to Phytosphingosine from NIST14	none	0.00029997	29.84975845
319.1637922480842_3.132120112179486	319.1637922	187.9272067	none	none	0.00029997	-28.5089372
319.1897583054123_4.372107246376812	319.1897583	262.3264348	none	none	0.00039996	-26.86038647
320.2940199984759_3.868868750000002	320.29402	232.132125	none	none	1.00E-04	-81.26256039
324.2894455792187_5.464114090177134	324.2894456	327.8468454	Spectral Match to Linoleoyl ethanolamide from NIST14	none	1.00E-04	-37.54299517
326.3774870351893_5.359782608695652	326.377487	321.5869565	none	none	1.00E-04	-50.5115942
330.263657401241_4.954638405797101	330.2636574	297.2783043	none	none	0.0009999	25.49758454
332.27893917425746_4.733702304964539	332.2789392	284.0221383	none	none	0.00029997	-25.20084541
332.33047177981103_5.283775845410626	332.3304718	317.0265507	Spectral Match to Benzyltetradecyldimethylammonium from NIST14	none	1.00E-04	-58.33671498
337.19872748067843_1.9030895032051285	337.1987275	114.1853702	none	none	0.00129987	-26.35483092
337.23610403310823_4.731581330128203	337.236104	283.8948798	none	none	0.00159984	-24.28864734
339.18936988010154_2.9221591750841736	339.1893699	175.3295505	none	none	1.00E-04	27.37693237
339.2681037729704_4.738620238095239	339.2681038	284.3172143	none	Chenodeoxycholic acid	1.00E-04	61.77669082
339.268128220786_5.009364251207728	339.2681282	300.5618551	none	Deoxycholic acid	1.00E-04	41.80724638
340.35680323309924_4.956487761674716	340.3568032	297.3892657	none	none	1.00E-04	-74.03091787
341.28327251080486_5.417118203883496	341.2832725	325.0270922	none	Lithocholic acid	1.00E-04	37.01545894
341.67995625447315_1.7252560162601633	341.6799563	103.515361	none	none	0.00129987	-24.90410628
342.37274691832374_4.878800644122385	342.3727469	292.7280386	none	none	1.00E-04	-75.37173913
345.21573187823475_4.4735561312607945	345.2157319	268.4133679	none	none	1.00E-04	52.27004831
347.2222820066967_2.9392424019607826	347.222282	176.3545441	none	none	0.00079992	-25.34371981
347.24295602134197_3.7459518987341776	347.242956	224.7571139	none	none	0.00059994	23.29951691
348.32595452695415_4.4122314903846185	348.3259545	264.7338894	none	none	1.00E-04	-79.72391304
349.2010173957448_3.142582612179488	349.2010174	188.5549567	none	none	1.00E-04	31.82801932
349.2355938600499_5.344058245614035	349.2355939	320.6434947	none	none	0.00119988	26.50869565
352.5465753987142_2.5884443089430897	352.5465754	155.3066585	none	none	1.00E-04	-27.10217391
353.2474741267825_3.6698769230769246	353.2474741	220.1926154	none	none	1.00E-04	-56.11666667
353.2475266550136_3.8314262626262607	353.2475267	229.8855758	none	none	0.00159984	24.59637681
353.24753609015636_3.6015804835924	353.2475361	216.094829	none	none	0.00029997	-27.93743961
353.2476613964407_3.452782552083336	353.2476614	207.1669531	none	none	1.00E-04	-49.99504831
355.26286996580086_5.042632045088569	355.26287	302.5579227	Spectral Match to Cholic acid from NIST14	none	0.00029997	-28.02536232
355.2629006371635_4.131933012820513	355.2629006	247.9159808	Spectral Match to Cholic acid from NIST14	Cholic acid	0.00079992	26.37681159
355.2629055490768_3.7938971153846124	355.2629055	227.6338269	Spectral Match to Cholic acid from NIST14	a-Muricholic acid	1.00E-04	-56.24855072
355.2629143700245_4.354349038461536	355.2629144	261.2609423	Spectral Match to Cholic acid from NIST14	Cholic acid	1.00E-04	37.52101449
355.2629530868205_4.87133357371795	355.2629531	292.2800144	Spectral Match to Cholic acid from NIST14	none	0.00059994	26.33285024
356.3519800866507_3.7383461538461527	356.3519801	224.3007692	none	none	1.00E-04	-63.63405797
356.35213850929046_4.84109339774557	356.3521385	290.4656039	none	none	1.00E-04	-73.50338164
357.27789601970994_4.411550985221675	357.277896	264.6930591	Spectral Match to 3.beta.-Hydroxy-5-cholenoic acid from NIST14	Hyodeoxycholic acid	0.00119988	24.20072464
357.2784138555112_5.010000161030595	357.2784139	300.6000097	Spectral Match to 3.beta.-Hydroxy-5-cholenoic acid from NIST14	Deoxycholic acid	1.00E-04	43.49975845
357.2784642647587_4.740846153846155	357.2784643	284.4507692	Spectral Match to 3.beta.-Hydroxy-5-cholenoic acid from NIST14	Chenodeoxycholic acid	1.00E-04	56.82004831
358.2695874204141_2.6907764423076936	358.2695874	161.4465865	LeuIleLeu	none	0.00069993	25.89323671
358.3674927461803_3.659565945512819	358.3674927	219.5739567	none	none	1.00E-04	-73.28357488
359.2929025956458_5.417774879227055	359.2929026	325.0664928	Lithocholic acid	Lithocholic acid	1.00E-04	38.92777778
360.2976395087234_5.417922463768119	360.2976395	325.0753478	none	none	1.00E-04	38.15845411
362.3047447602281_4.375596440129451	362.3047448	262.5357864	none	none	1.00E-04	-81.70217391
364.3205226806662_3.403443946932007	364.3205227	204.2066368	none	none	1.00E-04	-79.59202899
365.1049857078335_0.32836690938511337	365.1049857	19.70201456	sucrose	none	0.00029997	28.02536232
366.5300724542293_2.344946743295019	366.5300725	140.6968046	none	none	0.00209979	-22.22246377
371.20056469861464_2.829894035087719	371.2005647	169.7936421	none	none	0.00119988	-21.92572464
371.25774163309666_3.4422024038461547	371.2577416	206.5321442	none	none	1.00E-04	-49.76425121
371.2578652117252_4.872693669871796	371.2578652	292.3616202	none	none	1.00E-04	-53.03937198
371.2579277598812_3.76474375	371.2579278	225.884625	none	none	1.00E-04	-36.70772947
371.25804805646203_3.698327243589743	371.2580481	221.8996346	none	none	1.00E-04	-64.18357488
371.2581071164642_4.645809775641028	371.2581071	278.7485865	none	none	0.00049995	27.05821256
373.27309372825846_3.3134839080459755	373.2730937	198.8090345	Spectral Match to Cholic acid from NIST14	none	0.00059994	-26.12403382
373.2733183096217_3.40329158653846	373.2733183	204.1974952	Spectral Match to Cholic acid from NIST14	none	1.00E-04	-34.66352657
373.2734697428215_5.043279790660225	373.2734697	302.5967874	Spectral Match to Cholic acid from NIST14	none	0.00029997	-29.25628019
373.27348615624044_3.8406199677938813	373.2734862	230.4371981	Spectral Match to Cholic acid from NIST14	a-Muricholic acid	1.00E-04	-45.74178744
373.27348764725264_4.338406810897439	373.2734876	260.3044087	Spectral Match to Cholic acid from NIST14	Cholic acid	1.00E-04	39.21352657
373.27350038542585_4.124289342948718	373.2735004	247.4573606	Spectral Match to Cholic acid from NIST14	Cholic acid	0.00049995	25.84927536
374.2769436984084_4.119670512820513	374.2769437	247.1802308	none	none	1.00E-04	31.95990338
375.28469037050917_4.972101504629632	375.2846904	298.3260903	Spectral Match to Ursodeoxycholic acid from NIST14	none	0.0009999	-25.56352657
375.28744349285836_4.033898780487805	375.2874435	242.0339268	Spectral Match to Ursodeoxycholic acid from NIST14	none	0.00019998	18.38683575
375.28808768087396_4.528944230769232	375.2880877	271.7366538	Spectral Match to Ursodeoxycholic acid from NIST14	Ursodeoxycholic acid	0.00209979	23.45338164
375.2881148445714_4.7519132211538455	375.2881148	285.1147933	Spectral Match to Ursodeoxycholic acid from NIST14	Chenodeoxycholic acid	1.00E-04	52.29202899
375.2884788491843_5.009893639291467	375.2884788	300.5936184	Spectral Match to Ursodeoxycholic acid from NIST14	Deoxycholic acid	1.00E-04	40.22463768
376.2922857782247_4.751931971153846	376.2922858	285.1159183	none	none	1.00E-04	55.347343
376.2924215086579_5.00944734299517	376.2924215	300.5668406	none	none	1.00E-04	37.21328502
377.22858982077094_2.6595244391025625	377.2285898	159.5714663	none	none	0.00019998	-28.86062802
381.13200304889733_4.636703233830844	381.132003	278.202194	none	none	1.00E-04	38.99371981
381.22810993567833_3.157893349358976	381.2281099	189.473601	none	none	1.00E-04	-40.62028986
381.2283215179716_2.6935903044871803	381.2283215	161.6154183	none	none	1.00E-04	-34.75144928
382.2309929890207_2.7270253205128188	382.230993	163.6215192	none	none	0.00079992	-26.81642512
385.1996033348209_3.700404928315412	385.1996033	222.0242957	none	none	1.00E-04	86.42801932
385.2124548722461_3.0494366412213734	385.2124549	182.9661985	none	none	1.00E-04	66.51352657
385.21269461667373_2.920251865671641	385.2126946	175.2151119	none	none	1.00E-04	70.64589372
387.2526580377175_4.532190945512823	387.252658	271.9314567	none	none	0.00029997	-29.14637681
387.2527576594614_3.911695112179487	387.2527577	234.7017067	none	none	0.00179982	-24.68429952
387.29117961691315_4.656423317307692	387.2911796	279.385399	none	none	1.00E-04	-38.55410628
389.2683734424806_3.1032896940418673	389.2683734	186.1973816	none	none	0.00059994	-27.16811594
389.26839450458306_4.872354086538462	389.2683945	292.3412452	none	none	1.00E-04	-44.84057971
389.2684554858157_3.4488627403846155	389.2684555	206.9317644	none	none	1.00E-04	-35.74057971
389.2685043324715_3.728450801282049	389.2685043	223.7070481	none	none	1.00E-04	-45.54396135
391.28352570147405_3.3972092147435884	391.2835257	203.8325529	Spectral Match to 12-Ketodeoxycholic acid from NIST14	none	1.00E-04	-43.60966184
391.2840865306042_4.331681730769233	391.2840865	259.9009038	Spectral Match to 12-Ketodeoxycholic acid from NIST14	Cholic acid	1.00E-04	36.4
391.28410117004233_3.8488245192307704	391.2841012	230.9294712	Spectral Match to 12-Ketodeoxycholic acid from NIST14	a-Muricholic acid	1.00E-04	-37.12536232
391.2841105382007_4.130280368589744	391.2841105	247.8168221	Spectral Match to 12-Ketodeoxycholic acid from NIST14	Cholic acid	1.00E-04	48.70917874
391.2841486470791_4.648378125	391.2841486	278.9026875	Spectral Match to 12-Ketodeoxycholic acid from NIST14	none	0.00019998	-28.68478261
392.2870021088989_4.330809615384618	392.2870021	259.8485769	none	none	0.00019998	32.28961353
392.2875059858757_3.8526408653846165	392.287506	231.1584519	none	none	1.00E-04	-35.5647343
395.14869862961405_4.933524181117535	395.1486986	296.0114509	none	none	1.00E-04	32.50942029
395.2927648203227_3.8350661319073103	395.2927648	230.1039679	none	none	1.00E-04	33.34468599
396.2193030191714_5.469348389694046	396.219303	328.1609034	none	none	1.00E-04	-41.54347826
397.31018026583035_4.731047996794872	397.3101803	283.8628798	none	none	1.00E-04	31.0147343
399.2281611628617_4.030917911877395	399.2281612	241.8550747	none	none	0.00019998	32.92705314
401.34143085327963_5.811772051282053	401.3414309	348.7063231	none	none	0.00219978	23.51932367
402.2304160542917_4.711364022435897	402.2304161	282.6818413	none	none	1.00E-04	45.32415459
402.6982094806176_1.6391226315789458	402.6982095	98.34735789	none	none	1.00E-04	-37.87270531
405.2630842216883_4.077684935897432	405.2630842	244.6610962	none	none	1.00E-04	-34.48768116
405.2635228736491_3.881844391025641	405.2635229	232.9106635	none	none	1.00E-04	-41.05990338
405.26353112658285_4.251211298076922	405.2635311	255.0726779	none	none	1.00E-04	-43.34589372
405.3008533033694_5.293038190954774	405.3008533	317.5822915	none	none	1.00E-04	-62.09541063
406.2961610887035_4.870382689210952	406.2961611	292.2229614	none	none	1.00E-04	-44.07125604
407.2793374354494_3.6606099358974373	407.2793374	219.6365962	none	none	1.00E-04	-58.66642512
407.27934740807694_4.398676362179487	407.2793474	263.9205817	none	none	1.00E-04	-33.65241546
407.279386769048_4.624929024390242	407.2793868	277.4957415	none	none	0.00129987	24.86014493
407.2795146023612_3.45342780448718	407.2795146	207.2056683	none	none	1.00E-04	-52.44589372
407.27962177019765_3.4003263621794866	407.2796218	204.0195817	none	none	1.00E-04	-43.85144928
408.31122381638045_5.042060305958131	408.3112238	302.5236184	none	none	1.00E-04	-35.01521739
408.3136466186243_3.802695087719299	408.3136466	228.1617053	none	none	1.00E-04	-70.82173913
408.72900134588986_3.0216030081300804	408.7290013	181.2961805	none	none	0.00019998	29.87173913
410.2581271680169_4.8047434782608685	410.2581272	288.2846087	none	none	0.00019998	-29.27826087
410.32615876103534_5.00864371980676	410.3261588	300.5186232	none	none	1.00E-04	39.14758454
411.36289219788716_5.375991706924317	411.3628922	322.5595024	none	none	1.00E-04	-51.69855072
413.26441903480395_4.8034078525641	413.264419	288.2044712	none	none	0.00039996	-28.94855072
415.21231544231176_4.892215539452496	415.2123154	293.5329324	"NCGC00347704-02_C24H32O7_2H-Oxireno[1,10a]phenanthro[3,2-b]furan-10(11bH)-one, 5,7-bis(acetyloxy)-3,3a,4,5,6,7,7a,7b,8,8a-decahydro-4,4,7a,11-tetramethyl-, (1aS,3aR,5S,7S,7aR,7bS,8aR,11bR)-"	none	0.00019998	-31.71811594
415.3219805414487_4.946763285024156	415.3219805	296.8057971	none	none	0.00049995	27.01425121
416.2146013505707_4.891637922705315	416.2146014	293.4982754	none	none	0.00019998	-32.50942029
416.32153571270885_4.7557729166666665	416.3215357	285.346375	none	none	1.00E-04	39.49927536
417.33645319091937_3.911787359098231	417.3364532	234.7072415	none	none	0.00119988	24.39855072
419.2415645759718_5.351714200680268	419.2415646	321.102852	none	none	0.00149985	-25.12391304
422.32656538630357_5.2950799823633155	422.3265654	317.7047989	none	none	1.00E-04	-62.952657
423.2744277895506_3.305909455128204	423.2744278	198.3545673	none	none	1.00E-04	-57.76521739
423.27461104807855_4.296987259615384	423.274611	257.8192356	none	none	1.00E-04	-74.14082126
425.2907219595734_3.8443843185550097	425.290722	230.6630591	none	none	0.00039996	28.28913043
426.1942293968819_3.5914452504317786	426.1942294	215.486715	none	none	0.00019998	29.23429952
426.32142817710695_4.3432639423076935	426.3214282	260.5958365	Spectral Match to Cholic acid from NIST14	none	1.00E-04	40.86207729
426.3215225633898_4.134641666666666	426.3215226	248.0785	Spectral Match to Cholic acid from NIST14	none	1.00E-04	47.58816425
426.3217333552904_3.8439929738562086	426.3217334	230.6395784	Spectral Match to Cholic acid from NIST14	none	1.00E-04	-34.93828502
426.32180482001854_3.920019791666668	426.3218048	235.2011875	Spectral Match to Cholic acid from NIST14	none	1.00E-04	-36.59782609
427.28248021159754_5.282133744855971	427.2824802	316.9280247	none	none	1.00E-04	-49.87415459
427.35825709196763_5.466747423510468	427.3582571	328.0048454	none	none	0.00219978	-23.497343
427.35862242602803_5.089847630718956	427.3586224	305.3908578	none	none	1.00E-04	-48.24758454
428.2098764817096_3.590472673434855	428.2098765	215.4283604	none	none	0.00019998	28.90458937
429.30233084891745_4.269161378205127	429.3023308	256.1496827	none	none	0.00189981	-25.05797101
429.37299053748086_5.386426247987117	429.3729905	323.1855749	none	none	1.00E-04	-48.79710145
431.2740700439925_4.1355272141706925	431.27407	248.1316329	none	none	0.00109989	25.29975845
434.18762798407056_0.501183253205128	434.187628	30.07099519	none	none	0.00029997	-28.39903382
437.30305094497766_4.37002634032634	437.3030509	262.2015804	none	none	1.00E-04	-34.42173913
439.3190317620808_5.5293827083333325	439.3190318	331.7629625	none	none	1.00E-04	45.88466184
442.3168164453751_3.432894927536232	442.3168164	205.9736957	none	none	1.00E-04	-63.39227053
443.35210530843335_5.2965657809983915	443.3521053	317.7939469	none	none	0.00039996	-27.60772947
443.35455786152795_5.078118646864688	443.3545579	304.6871188	none	none	1.00E-04	-32.01485507
445.2341573881832_2.9005621052631576	445.2341574	174.0337263	none	none	0.00119988	-26.97028986
453.2310415613327_3.682982210708119	453.2310416	220.9789326	none	none	1.00E-04	-62.05144928
455.3123598326295_4.373842171717174	455.3123598	262.4305303	none	none	1.00E-04	-40.81811594
455.3130056245645_4.559677993527511	455.3130056	273.5806796	none	none	0.00069993	-26.64057971
455.31379155539287_4.761611390284757	455.3137916	285.6966834	none	none	0.00139986	-25.65144928
455.3145722685194_5.311847140522877	455.3145723	318.7108284	none	none	1.00E-04	35.32294686
457.32984938976307_4.45104701754386	457.3298494	267.0628211	none	none	1.00E-04	-32.597343
457.331346516952_5.182090982286633	457.3313465	310.9254589	none	none	1.00E-04	-33.96014493
460.3518822373971_5.852060650887574	460.3518822	351.1236391	none	none	0.0009999	24.86014493
461.36243307108174_5.0793792194092795	461.3624331	304.7627532	none	none	0.00049995	-25.58550725
463.37835715732405_5.097323937908493	463.3783572	305.8394363	none	none	1.00E-04	-47.50024155
464.2825194019401_3.911678431372549	464.2825194	234.7007059	none	Taurodeoxycholic acid	0.00019998	30.2673913
464.2829014176653_3.757069696969693	464.2829014	225.4241818	none	Taurodeoxycholic acid	1.00E-04	58.11690821
468.3321031842305_4.344161764705882	468.3321032	260.6497059	none	none	1.00E-04	30.90483092
471.24158361111586_3.7005466666666633	471.2415836	222.0328	none	none	0.00019998	-37.79577295
473.3257880690377_4.367798157051279	473.3257881	262.0678894	none	none	1.00E-04	-40.29057971
478.2626382182168_3.2976639028475696	478.2626382	197.8598342	none	none	1.00E-04	42.9942029
480.27691899712823_3.8259054750402575	480.276919	229.5543285	none	none	1.00E-04	53.83067633
